id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
44,1476024,3,4.0,7601,14583,1.0,0,0,4,7,7381,220,1975,0,98020,47.1701,-122.3964,1588,14717
45,723673,4,2.5,3234,20314,1.5,0,0,3,4,2772,462,1938,0,98030,47.5108,-122.4339,4423,10090
46,770719,6,4.5,3505,35919,1.5,0,0,4,6,2575,930,1932,0,98190,47.4884,-121.6636,2464,3460
47,1162342,5,3.5,5158,46104,3.0,0,0,3,12,4478,680,1931,0,98077,47.6412,-121.3705,671,33815
48,753082,6,3.0,2399,44305,2.5,0,0,3,10,1061,1338,1920,0,98026,47.7686,-121.4728,4749,13807
49,542361,2,1.5,1767,2501,3.0,0,2,4,4,414,1353,1952,0,98066,47.3154,-122.181,2939,18072
50,1610458,1,3.0,7475,40759,2.5,0,4,3,11,6819,656,1963,0,98061,47.6053,-122.2549,4678,32878
51,859308,7,4.5,2028,20395,2.0,0,0,3,13,1743,285,1977,0,98189,47.4042,-122.4425,1682,21356
52,803439,1,3.5,3702,16217,1.5,0,0,3,7,2497,1205,1965,2006,98045,47.6486,-122.3128,4189,26342
53,912456,2,4.5,4056,43483,2.0,0,0,3,9,3237,819,1948,0,98046,47.215,-121.8187,5365,30267
54,886382,2,3.0,4390,19264,2.0,0,1,3,7,3935,455,1970,0,98024,47.4506,-121.3023,2485,36972
55,338827,7,1.5,1146,35342,1.5,0,0,3,5,300,846,1978,0,98077,47.154,-121.4692,4133,10413
56,1149806,5,1.0,6664,12497,2.0,0,0,2,4,6390,274,1930,0,98115,47.4928,-121.8821,2941,28099
57,654561,2,2.0,3388,24212,1.0,0,1,3,5,3352,36,1991,0,98016,47.2183,-121.9919,1763,39414
58,1152468,4,4.0,6810,17702,2.5,0,2,3,4,6368,442,1940,1994,98082,47.772,-122.3226,545,21340
59,1109986,6,4.0,5893,1534,3.0,0,0,3,4,5019,874,1971,0,98144,47.488,-121.9977,1736,1620
60,641806,6,2.0,2935,38229,1.5,0,0,3,4,1876,1059,1970,0,98066,47.4706,-121.7862,4830,37372
61,568035,3,3.0,1100,11540,1.0,0,0,4,13,1033,67,1935,0,98129,47.7806,-121.7854,2816,14675
62,549254,2,2.5,2863,36842,3.0,0,0,3,4,1430,1433,1973,0,98074,47.4489,-121.8309,1958,27024
63,607098,2,2.5,2561,49374,3.0,0,1,3,10,2202,359,1938,0,98025,47.5737,-121.5112,4931,34085
64,337954,4,2.0,741,44796,3.0,0,0,3,7,300,441,2010,2009,98014,47.1327,-121.8879,2630,11072
65,684380,1,1.5,2541,26863,2.0,0,0,3,11,1825,716,1993,0,98135,47.5958,-121.9326,1483,20540
66,856553,1,2.0,3324,16875,2.0,0,1,3,13,2377,947,2008,0,98021,47.173,-122.1331,4657,29318
67,743385,6,1.0,3112,7895,2.0,0,0,3,7,2631,481,2003,0,98093,47.6462,-122.2837,5898,34473
68,1310636,6,2.0,7541,5719,2.0,0,0,3,3,7253,288,1940,0,98091,47.7138,-122.4983,5266,34385
69,665805,5,1.0,1863,11055,1.0,1,0,3,10,1774,89,1940,0,98049,47.3208,-122.1135,2939,36687
70,1295621,7,3.5,6735,8757,2.0,0,2,3,5,6524,211,1904,0,98132,47.7147,-121.7403,4492,26264
71,1323606,4,2.5,5986,44828,1.5,0,0,3,12,5412,574,1984,0,98012,47.4378,-121.8293,2345,31366
72,1505160,7,5.0,7599,44237,3.0,0,0,3,13,6504,1095,1905,0,98022,47.5001,-121.8634,2762,5683
73,758377,7,2.0,1978,4778,1.0,0,0,4,12,1131,847,1961,0,98104,47.3877,-121.5731,1918,34302
74,912512,3,2.5,3056,16283,2.0,1,2,4,4,2767,289,1915,0,98162,47.4336,-122.2206,5327,22737
75,445426,7,2.5,1275,44756,3.0,0,0,3,8,909,366,1979,0,98154,47.7358,-121.6858,5664,15349
76,846732,3,1.0,4514,38257,1.0,0,0,4,6,4488,26,1987,0,98156,47.7631,-121.7714,5706,8264
77,392975,7,4.5,534,49052,3.0,0,4,3,6,300,234,2009,0,98147,47.4121,-122.0932,5744,18583
78,1343249,4,1.0,6849,24697,1.0,0,3,3,11,5950,899,1918,1992,98159,47.4601,-122.2377,4527,21271
79,1066009,3,5.0,3652,2957,2.5,0,4,3,12,2267,1385,1982,0,98014,47.1813,-121.8248,5864,14317
80,747985,1,4.5,2455,39170,1.0,0,0,3,10,977,1478,2011,0,98087,47.3279,-121.3658,2528,15102
81,576132,3,3.0,2085,44933,2.0,0,2,3,5,1281,804,1936,0,98081,47.4593,-122.4084,2672,17687
82,1057841,3,3.0,4443,6193,3.0,0,0,3,11,3832,611,1963,0,98151,47.2418,-121.3564,4323,25380
83,655327,4,3.5,3573,38159,3.0,0,0,4,3,3102,471,1958,0,98008,47.5036,-121.9423,2978,14799
84,540916,4,2.5,1521,22607,3.0,0,0,4,9,1153,368,1996,1981,98166,47.5797,-121.6479,5079,21290
85,972205,3,3.5,3961,45718,1.5,0,0,4,9,2612,1349,1968,1993,98010,47.555,-121.5362,675,34445
86,663991,2,1.0,3113,3750,1.5,0,0,4,4,2704,409,1972,0,98030,47.4098,-122.3182,574,31619
87,1157970,4,1.0,5725,8046,2.0,0,0,4,9,4677,1048,1984,0,98007,47.6385,-122.4461,3300,22022
88,984815,5,3.0,4343,22130,2.5,0,2,3,9,4183,160,1906,1998,98002,47.3237,-122.3458,3067,8861
89,683328,5,3.0,2000,36486,1.5,0,0,3,11,782,1218,1941,0,98022,47.4285,-122.0909,2599,12967
90,1164478,1,4.5,5298,43998,1.0,0,0,3,8,3854,1444,1924,2011,98133,47.2891,-121.3521,5700,38132
91,1647895,7,1.5,7045,8295,2.0,1,0,3,12,6368,677,1955,0,98195,47.5225,-122.4487,3380,33555
92,1565636,3,4.5,7373,46721,2.5,0,3,3,13,7361,12,1946,0,98197,47.4085,-121.3962,4942,36796
93,1300472,2,2.0,6175,44835,1.0,0,0,4,12,4745,1430,1984,0,98056,47.252,-121.8264,1443,3222
94,385062,1,2.5,661,47917,3.0,0,0,4,11,300,361,2007,0,98020,47.3157,-122.3772,4580,32188
95,938585,3,2.5,4797,8507,1.5,0,0,3,5,3528,1269,1976,0,98198,47.2956,-122.3167,3658,7661
96,638363,4,2.5,2481,8159,1.0,0,2,3,10,2394,87,1949,0,98068,47.7376,-121.6728,5427,23537
97,642878,5,1.5,1495,45731,2.5,1,0,4,6,1057,438,1984,0,98185,47.4654,-121.7699,5743,9761
98,1375663,6,3.0,6913,26469,2.0,0,0,2,13,6493,420,1973,2014,98021,47.5569,-122.2991,2833,3599
99,964052,2,4.0,5411,48566,1.0,0,0,3,3,4132,1279,1987,0,98017,47.7543,-121.4148,3707,30334
100,962173,6,3.0,3842,32217,2.0,0,2,4,9,2543,1299,1990,0,98079,47.2276,-122.3405,3440,26230
101,1015165,5,3.0,5051,5145,3.0,0,0,4,5,4021,1030,1932,0,98027,47.7558,-121.8861,2011,33644
102,928830,7,4.5,4298,18229,2.5,0,0,3,6,3799,499,1925,0,98167,47.4777,-121.866,1845,29968
103,531157,7,4.0,1775,17904,2.5,0,0,4,5,1530,245,1999,0,98083,47.6993,-121.4554,5816,9083
104,552766,6,3.0,1516,12492,1.5,0,3,3,8,1171,345,1916,0,98195,47.2176,-122.4734,4288,15131
105,1644592,4,2.0,6939,45635,2.5,1,0,3,12,5712,1227,1920,0,98111,47.2911,-122.3363,2244,1342
106,1526356,3,4.5,7363,1210,1.0,1,0,3,3,6884,479,2008,1989,98115,47.2359,-122.2952,1407,11090
107,656401,4,3.5,837,24068,1.0,1,0,3,12,300,537,1901,0,98113,47.5574,-122.4245,4566,22499
108,470648,6,2.0,1378,45947,1.0,0,0,3,9,481,897,1978,0,98198,47.1985,-121.7422,5725,3428
109,626464,4,2.0,1576,39962,3.0,0,0,4,12,300,1276,1943,0,98197,47.6548,-122.2245,3171,30557
110,1152978,5,4.0,5387,49910,2.5,0,0,3,10,4868,519,1965,0,98013,47.2753,-121.808,4221,13805
111,947897,2,1.0,4493,26767,2.5,0,3,3,5,4064,429,1970,0,98113,47.2788,-121.5609,1909,34391
112,1361395,4,5.0,6860,23975,1.0,0,0,3,11,6691,169,1935,0,98098,47.2968,-122.0098,5250,14516
113,1089035,5,1.5,5359,6434,1.5,0,2,3,4,5241,118,1945,2005,98050,47.6225,-121.5774,4786,3843
114,1484926,2,4.0,6831,26571,1.5,0,0,4,12,6074,757,1949,0,98138,47.747,-121.5666,4871,20599
115,692479,7,2.5,879,12359,2.5,0,3,3,13,817,62,2006,0,98056,47.7353,-122.1839,4859,7622
116,434260,3,3.0,992,9568,2.5,0,0,3,12,300,692,1995,0,98104,47.1709,-122.4811,3938,3057
117,1563619,6,4.5,7708,25467,2.0,0,0,3,11,7600,108,1966,0,98172,47.2837,-122.3761,2605,16518
118,1213218,7,2.5,5776,18172,2.5,0,0,4,7,5031,745,1902,0,98028,47.5705,-121.5118,5243,35726
119,727481,3,3.0,2562,18635,1.0,0,1,3,8,1846,716,2013,0,98037,47.533,-122.0136,5393,33595
120,931255,7,1.0,4384,48899,3.0,0,1,3,4,3968,416,2018,0,98036,47.345,-121.4931,5447,39910
121,485261,1,1.0,564,41997,2.5,1,0,5,7,300,264,1932,0,98184,47.704,-121.843,2601,10064
122,851494,7,2.0,3068,24173,2.5,0,0,2,8,2177,891,1944,0,98092,47.1913,-122.2631,1193,34428
123,1214185,5,3.5,5963,11052,1.0,0,0,3,7,4700,1263,1924,0,98057,47.5473,-121.6453,4306,4983
124,1136413,2,1.5,5748,45998,2.0,0,0,5,6,5039,709,1936,0,98036,47.2912,-121.8302,4975,4224
125,676932,7,1.5,2527,36438,2.5,0,0,3,10,1910,617,1935,0,98129,47.469,-122.0778,3216,9614
126,673361,4,2.5,3195,26074,1.5,0,0,4,4,2944,251,1934,0,98171,47.3712,-122.3947,1233,29685
127,418129,3,3.5,1995,2570,1.5,0,0,2,3,786,1209,1918,0,98137,47.7858,-122.3772,4599,29600
128,1516530,7,4.0,7730,33540,1.5,0,1,2,4,6993,737,1944,0,98107,47.4407,-122.2738,4895,35864
129,1264269,2,1.5,5758,22359,3.0,0,1,2,13,4322,1436,2011,0,98106,47.7833,-121.6925,5713,28990
130,1125643,5,1.5,6118,12213,3.0,0,0,5,6,5615,503,1982,0,98195,47.2785,-121.6264,1260,37427
131,1259388,1,5.0,7236,16586,2.5,0,1,4,3,7083,153,1996,0,98115,47.6376,-121.7429,2057,15931
132,412466,3,2.0,891,36779,2.5,0,0,3,11,668,223,1917,1999,98032,47.6019,-122.0953,5098,24200
133,1270793,6,4.5,6294,9879,2.5,0,1,3,3,5697,597,1926,0,98119,47.6934,-121.9714,2161,3847
134,1059756,2,4.5,5014,30333,3.0,0,0,3,7,4169,845,1993,0,98124,47.5855,-121.6485,4691,4994
135,1578618,6,4.0,6932,48005,2.5,0,1,3,10,5491,1441,1930,0,98070,47.5777,-121.7082,5503,32589
136,1123108,2,1.5,4974,45349,1.0,0,0,3,11,4291,683,1938,0,98058,47.5625,-121.5724,1528,5733
137,1355679,2,4.5,6392,48338,2.0,0,0,4,11,6233,159,1966,1998,98180,47.7895,-122.2106,5813,28974
138,892961,5,4.0,4061,17526,1.5,0,0,4,10,2987,1074,1921,0,98198,47.2597,-122.4946,1390,24004
139,783799,5,3.5,2778,31378,1.5,0,0,4,8,1475,1303,1951,0,98089,47.1211,-122.1803,3166,12253
140,1521667,5,2.5,7661,49904,1.0,0,0,3,8,7490,171,1909,0,98028,47.5746,-122.0825,2966,5603
141,1504226,7,2.0,6684,1531,2.5,0,0,4,11,5704,980,2016,0,98193,47.2206,-121.3474,4157,30965
142,782434,4,1.5,3599,41771,3.0,0,2,4,4,3268,331,1907,0,98168,47.5756,-122.2387,4643,28776
143,1192144,2,3.0,6778,12072,2.5,0,0,3,5,5462,1316,1933,0,98148,47.3238,-121.5083,5542,24495
144,405945,3,3.5,700,48288,2.5,0,0,3,8,635,65,2005,0,98088,47.1303,-121.753,1089,19472
145,1427390,6,2.5,6459,21507,1.5,0,0,3,10,5166,1293,1952,1992,98115,47.6388,-122.299,987,39906
146,1160780,5,3.0,5375,22190,1.5,0,0,3,9,4008,1367,1917,0,98138,47.1362,-122.0158,2179,18452
147,1386890,7,2.5,7573,11509,3.0,0,0,4,10,7303,270,1911,0,98076,47.2569,-121.8878,5667,16495
148,950548,5,3.5,3604,21263,1.5,0,2,3,7,2520,1084,2009,1988,98190,47.3355,-122.087,5748,18268
149,1580895,6,4.5,7715,19171,2.5,0,0,4,11,7027,688,1963,0,98037,47.1929,-122.2286,2055,7277
150,1015051,6,1.5,5098,2273,1.0,0,0,2,8,4470,628,1956,0,98060,47.7395,-122.1966,5011,21914
151,877959,2,2.5,2954,39257,3.0,0,0,4,12,1795,1159,1995,0,98091,47.5353,-121.7978,2933,37302
152,755129,5,1.5,4145,37752,1.0,0,0,4,4,3144,1001,1901,0,98077,47.7128,-121.6743,5678,27920
153,1450879,6,3.5,6347,24353,2.5,1,0,3,8,6089,258,1916,0,98094,47.5774,-121.9372,1993,4085
154,584123,4,4.0,1304,29593,3.0,0,0,4,13,300,1004,1951,0,98115,47.7944,-121.3699,2808,36610
155,1364909,4,4.5,6742,10404,1.0,0,4,3,6,6412,330,1975,2019,98067,47.4676,-121.6257,3765,15475
156,724945,5,2.0,3231,42113,3.0,0,0,3,7,1815,1416,1970,0,98180,47.1376,-121.4299,2788,38994
157,1303300,7,5.0,6491,12890,2.5,0,0,3,7,5709,782,1978,0,98163,47.2126,-121.9292,3738,14250
158,646366,6,1.5,3273,4898,3.0,0,0,3,3,1996,1277,1901,0,98112,47.5119,-122.4821,2591,32808
159,709555,2,3.5,2070,11947,2.5,0,2,4,12,1804,266,1926,0,98190,47.3434,-121.7895,668,8696
160,1043521,2,1.0,5556,17603,3.0,0,1,3,7,4763,793,1925,2004,98140,47.179,-121.5181,1363,20977
161,1548901,7,4.5,7256,44617,3.0,0,0,3,12,6226,1030,1924,2011,98029,47.2667,-121.8562,5484,18850
162,1486814,2,3.0,6081,49477,1.5,0,3,4,13,5222,859,1911,1989,98030,47.4322,-121.8185,2097,27507
163,827071,1,3.5,3190,12889,2.5,0,0,3,11,2752,438,1916,0,98150,47.4627,-121.33,1293,31869
164,998003,5,4.5,4340,5233,2.0,0,0,3,10,3790,550,1964,2009,98081,47.7542,-122.0606,3622,24309
165,564354,2,1.5,1528,13225,3.0,0,2,3,10,1525,3,1994,0,98053,47.1635,-121.5378,962,33808
166,1458074,4,1.0,7885,20370,1.0,0,1,3,5,7208,677,1939,0,98022,47.3505,-121.8939,2943,10479
167,551583,6,4.5,1002,10014,1.5,0,3,3,11,696,306,1904,0,98188,47.4542,-121.9435,5353,36186
168,1572606,3,2.5,7410,22212,1.5,0,2,3,11,6949,461,1991,0,98049,47.1793,-122.3253,5325,1462
169,1222777,7,1.5,4993,29624,3.0,0,4,3,12,3619,1374,1927,0,98177,47.5815,-121.6019,3902,4461
170,638854,3,3.0,1370,32509,2.0,0,0,3,9,300,1070,2020,0,98135,47.4605,-121.512,4964,16174
171,1438793,2,3.5,7438,9378,1.5,0,0,3,8,6302,1136,1971,0,98046,47.4217,-121.9829,3023,13271
172,1098231,3,1.0,4988,10049,2.5,0,0,3,11,4872,116,2017,1990,98011,47.5593,-121.5838,3849,19554
173,528953,3,2.0,706,6495,3.0,0,1,3,13,300,406,1951,2020,98016,47.3015,-121.8027,1352,34107
174,1039878,1,1.0,5634,27441,3.0,0,0,4,8,5072,562,1913,0,98182,47.3375,-122.1909,5416,9745
175,1170746,4,2.5,6477,3439,2.0,0,0,4,5,5506,971,1905,0,98185,47.2139,-121.3915,5132,11028
176,1581429,7,4.5,7535,2619,2.5,0,2,4,8,6079,1456,1917,0,98036,47.4666,-121.6639,3824,17934
177,1002527,4,5.0,1984,6653,2.5,1,4,3,13,946,1038,1936,0,98051,47.3607,-121.446,4698,13353
178,558705,1,3.5,1363,27040,2.0,1,0,4,4,1163,200,1973,0,98150,47.2822,-122.1622,3457,34855
179,663975,1,1.5,3290,18711,1.0,0,0,4,4,1920,1370,1963,2015,98165,47.1873,-121.4004,2275,16754
180,1535613,3,4.5,7908,18527,2.5,0,0,3,9,7785,123,2010,0,98003,47.1163,-122.0624,1046,21738
181,668467,5,3.0,1063,3135,1.0,1,0,3,10,908,155,1998,0,98035,47.2353,-122.4886,1689,36464
182,1104511,6,1.5,5616,23933,1.0,0,0,3,9,5208,408,1934,0,98113,47.2732,-122.41,2993,25932
183,1117548,6,4.5,4691,41918,3.0,0,3,3,7,3460,1231,1916,0,98038,47.4398,-122.3928,4184,37183
184,1364831,3,4.0,6519,40344,3.0,0,0,3,6,6054,465,2009,0,98106,47.2687,-122.2514,4087,30562
185,722121,6,4.0,2257,44649,1.5,0,0,3,10,1504,753,1990,0,98055,47.6724,-122.2762,912,39943
186,1454818,1,4.0,7128,13201,3.0,0,0,3,11,5941,1187,1987,0,98169,47.4319,-122.4305,3261,18510
187,1264609,4,2.0,6874,33740,2.5,0,0,4,9,6103,771,1909,0,98038,47.5367,-121.4255,4372,20628
188,1343897,6,2.0,7392,40747,2.5,0,0,3,3,6092,1300,1950,0,98118,47.2456,-121.506,2280,8981
189,684719,7,4.0,2178,14860,1.0,0,1,3,6,1342,836,2011,0,98162,47.3913,-121.5846,4343,19844
190,812227,3,2.0,3742,1148,2.5,0,2,3,6,2739,1003,1980,0,98011,47.5219,-121.925,4029,29406
191,1144298,5,3.0,5136,18915,3.0,0,0,3,12,4387,749,1951,0,98014,47.3177,-121.9898,5812,5969
192,483686,3,4.0,1559,40193,3.0,0,1,3,5,1166,393,2008,1992,98081,47.3353,-121.9896,839,31893
193,1279789,2,4.0,7168,13770,3.0,0,0,4,6,7119,49,1963,0,98021,47.6652,-122.1859,5050,16874
194,1183770,3,3.0,5779,34326,2.0,0,0,3,11,5055,724,1932,2006,98156,47.686,-121.7701,2300,14800
195,539782,1,4.0,2222,39158,2.5,0,0,3,3,2079,143,1996,0,98107,47.4731,-122.4291,2831,37955
196,836769,4,4.5,3814,3645,1.5,1,0,3,4,3649,165,1916,0,98102,47.7275,-121.7095,3633,36833
197,931640,4,3.5,3657,29032,2.5,0,0,4,9,2567,1090,1981,0,98086,47.6157,-121.8834,3573,25605
198,1339695,7,2.0,6415,20891,2.5,0,0,4,11,5372,1043,1948,0,98060,47.1387,-121.5202,5231,13574
199,858230,6,2.0,3125,30145,2.0,0,0,3,9,2503,622,2007,2009,98034,47.4916,-121.3327,4471,1680
200,559134,1,2.5,3229,33252,2.5,0,0,3,3,3161,68,2001,0,98065,47.5885,-121.4481,2873,3581
201,1190619,2,1.5,7200,39547,1.0,0,0,3,9,6747,453,1906,0,98004,47.4786,-121.6361,4513,37872
202,615731,1,2.0,2097,14243,3.0,0,0,4,8,2073,24,2012,0,98105,47.6824,-121.9807,3711,15494
203,677355,3,2.0,3560,4584,3.0,0,0,3,3,3251,309,1989,0,98056,47.3106,-122.2426,1414,35959
204,598179,1,3.0,3193,35123,2.0,0,0,3,3,3182,11,2011,0,98070,47.1458,-121.7022,3438,38781
205,1188584,1,4.5,5391,30053,3.0,1,0,3,4,4815,576,1964,0,98080,47.5435,-122.2581,3792,5213
206,1372491,7,1.5,5647,46864,1.0,1,1,3,8,4954,693,1961,0,98010,47.6116,-122.4757,4307,10907
207,1341611,2,4.0,6239,28644,2.0,1,0,3,6,6006,233,1974,0,98035,47.6357,-121.8121,655,7284
208,1096535,3,3.5,4127,44031,1.5,1,0,3,6,3293,834,1909,0,98138,47.1077,-122.027,4964,17880
209,474262,5,1.5,1863,48594,3.0,0,0,2,8,947,916,1930,0,98076,47.5714,-121.4488,511,31630
210,768449,7,4.5,2481,40357,2.5,0,0,3,11,1325,1156,1924,0,98191,47.1145,-121.7251,5432,33314
211,1274303,5,3.5,5950,36775,1.0,0,3,5,3,5360,590,1956,0,98097,47.6424,-121.7233,2472,38798
212,572747,7,2.5,2163,17129,1.0,0,0,4,4,865,1298,1964,0,98153,47.5922,-121.5545,4626,24033
213,620733,4,4.0,2029,10107,3.0,0,0,3,10,1181,848,1942,0,98125,47.4972,-122.0972,2938,36544
214,839265,7,2.0,2538,24989,1.5,0,1,4,10,1926,612,2019,0,98032,47.4544,-121.3502,5516,38881
215,1438004,6,4.0,6092,20480,2.5,1,0,3,13,5941,151,1902,0,98106,47.6006,-122.2344,4752,27688
216,947677,1,1.0,3802,35816,1.5,0,0,3,13,2327,1475,1954,0,98056,47.14,-121.454,3774,20505
217,770275,4,4.5,2737,12870,1.5,0,2,2,8,2522,215,1947,0,98154,47.6825,-121.407,1800,30101
218,1637378,2,,7892,16417,3.0,0,2,3,8,7234,658,1964,0,98068,47.2409,-122.4532,1579,14642
219,1407633,5,3.5,6004,24107,2.5,0,0,4,10,5695,309,1970,0,98155,47.4345,-121.7418,3274,3913
220,1108561,7,2.0,5996,9962,3.0,0,0,4,4,4740,1256,2006,0,98090,47.4408,-121.6007,4207,26041
221,434161,1,3.5,1806,38283,3.0,0,1,3,4,1658,148,2012,0,98011,47.644,-121.3554,2454,35875
222,930036,2,4.0,4529,31410,1.0,0,0,4,3,4193,336,2014,2000,98181,47.2351,-122.1983,3960,39706
223,1440596,6,3.0,7276,20957,3.0,0,0,4,8,5797,1479,1959,2021,98102,47.3098,-121.8258,4847,21333
224,662953,2,3.5,3175,36090,2.0,0,0,3,8,2669,506,1913,2011,98032,47.5642,-121.5723,5937,15301
225,1128421,1,3.0,5568,40112,2.5,0,0,4,8,4270,1298,1986,0,98187,47.3889,-122.322,3141,38884
226,1527509,6,4.5,6364,35985,1.0,0,0,3,13,5394,970,2011,0,98158,47.3092,-121.4764,3400,13580
227,534920,2,3.0,1782,43280,2.5,0,0,4,4,578,1204,1980,0,98137,47.535,-122.0156,5442,20480
228,549945,6,4.5,1209,9211,1.0,0,1,3,9,300,909,1913,0,98011,47.1606,-121.7323,4287,19327
229,1119190,7,4.0,6075,40825,2.0,0,0,3,5,5642,433,1908,0,98087,47.6528,-122.4496,5872,4681
230,1127757,7,2.5,6030,10708,3.0,0,0,4,3,4856,1174,1984,2015,98145,47.4673,-122.2325,4209,3324
231,977744,1,2.0,5244,28064,1.0,0,0,3,3,3750,1494,1944,0,98096,47.2442,-121.9262,2746,24538
232,1029099,1,2.5,4913,33995,1.0,0,1,3,11,4710,203,1901,0,98011,47.386,-122.1529,5232,23008
